Toy Safety Directive - Substances Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:15
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	
"Disodium [[N,N'-ethylenebis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']cadmate(2-)"	"252-736-9"	"35803-35-1"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Octadecanoic acid, cadmium salt, basic"	"309-794-6"	"101012-93-5"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Calcines, cadmium residue"	"273-806-5"	"69029-63-6"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium diphenolate"	"242-727-8"	"18991-05-4"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium wolframate"	"232-226-2"	"7790-85-4"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium diicosanoate"	"238-994-5"	"14923-81-0"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium didocosanoate"	"251-927-4"	"34303-23-6"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Bis(propane-1,2-diyldiamine-N,N')cadmium(2+) bis[bis(cyano-C)aurate(1-)]"	"267-692-6"	"67906-19-8"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium sulphide"	"215-147-8"	"1306-23-6"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium p-toluate"	"219-345-5"	"2420-97-5"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Fatty acids, C9-13-neo-, cadmium salts"	"296-441-3"	"92704-12-6"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"(T-4)-Bis[1,1,2,2-tetramethyl-1,2-bis(sulfanylidene-kappaS)-1lambda(5),2lambda(5)-diphosphane]cadmium(2+) diperchlorate"	"-"	"71231-59-9"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium isohexadecanoate"	"306-072-2"	"95892-12-9"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Phosphonic acid, P-tetradecyl-, reaction products with cadmium selenide (CdSe)"	"-"	"1773514-66-1"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium toluate"	"248-480-2"	"27476-27-3"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium sodium tetrachloride"	"-"	"21360-94-1"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium sulfide (CdS), solid soln. with zinc sulfide, nickel and silver-doped"	"271-512-1"	"68583-44-8"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Bis(dimethyldithiocarbamato-S,S')cadmium"	"239-026-4"	"14949-60-1"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Naphthenic acids, cadmium salts"	"263-053-0"	"61789-34-2"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium, benzoate p-tert-butylbenzoate complexes"	"270-824-5"	"68478-53-5"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium sulfide (CdS), solid soln. with zinc sulfide, aluminum and silver-doped"	"271-538-3"	"68584-41-8"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium bis(piperidine-1-carbodithioate)"	"239-025-9"	"14949-59-8"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium chloride magnesium dodecahydrate"	"-"	"77289-75-9"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Boric acid, cadmium salt"	"257-067-6"	"51222-60-7"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"tetraamminecadmium permanganate"	"-"	"34410-88-3"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Octadecanoic acid, 12-hydroxy-, cadmium salt, basic"	"309-795-1"	"101012-94-6"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Disodium ethylenediaminetetraacetate cadmium"	"-"	"30363-28-1"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
